id,title,url,filename,item_code,base_code,translation_key,item_code_family,category,section,language,topics,year,bytes,size_human,last_modified,source_page,source_title,source_count,host,status
16,A.A. Guidelines on Public Information,https://aaws.widen.net/content/6gx5ad8ug7/pdf/mg-7_public_information_online.pdf,mg-7_public_information_online.pdf,MG-7,MG-7,MG-7|,A.A. Guidelines,A.A. Guidelines,A.A. Guidelines,English,Public Information; Guidelines; Workbook / Kit; Form / Application,,68701,67.1 KB,2026-06-29,https://www.aa.org/aa-guidelines-public-information,A.A. Guidelines on Public Information,1,aaws.widen.net,ok
17,A.A. Guidelines on Relationship Between A.A. and Al-Anon,https://aaws.widen.net/content/ves6jr5v7a/pdf/mg-8_relationship_aa__al_anon_online.pdf,mg-8_relationship_aa__al_anon_online.pdf,MG-8,MG-8,MG-8|,A.A. Guidelines,A.A. Guidelines,A.A. Guidelines,English,Guidelines; Workbook / Kit; Family,,31085,30.4 KB,2026-08-06,https://www.aa.org/aa-guidelines-relationship-between-aa-and-al-anon,A.A. Guidelines on Relationship Between A.A. and Al-Anon,1,aaws.widen.net,ok
18,A.A. Guidelines on Relationship Between A.A. and Clubs,https://aaws.widen.net/content/rmcz4a3nio/pdf/mg-3a_relationship_aa__clubs_online.pdf,mg-3a_relationship_aa__clubs_online.pdf,MG-3A,MG-3A,MG-3A|,A.A. Guidelines,A.A. Guidelines,A.A. Guidelines,English,Guidelines; Workbook / Kit,,32584,31.8 KB,2026-08-03,https://www.aa.org/aa-guidelines-relationship-between-aa-and-clubs,A.A. Guidelines on Relationship Between A.A. and Clubs,1,aaws.widen.net,ok
19,A.A. Guidelines on Safety and A.A. Groups,https://aaws.widen.net/content/uqwwqmncqc/pdf/mg-25_safety_and_aa_groups_online.pdf,mg-25_safety_and_aa_groups_online.pdf,MG-25,MG-25,MG-25|,A.A. Guidelines,A.A. Guidelines,A.A. Guidelines,English,Safety; Guidelines; Workbook / Kit,,159560,155.8 KB,2025-07-17,https://www.aa.org/aa-guidelines-safety-and-aa-groups,A.A. Guidelines on Safety and A.A. Groups,1,aaws.widen.net,ok
20,A.A. Guidelines on Sharing the A.A. Message with the Alcoholic Who Is Deaf,https://aaws.widen.net/content/hghzf91m9e/pdf/mg-13_sharing_the_message_with_deaf_alcoholics_online.pdf,mg-13_sharing_the_message_with_deaf_alcoholics_online.pdf,MG-13,MG-13,MG-13|,A.A. Guidelines,A.A. Guidelines,A.A. Guidelines,English,Accessibility; Guidelines; Workbook / Kit,,71798,70.1 KB,2026-03-19,https://www.aa.org/aa-guidelines-sharing-aa-message-alcoholic-who-deaf,A.A. Guidelines on Sharing the A.A. Message with the Alcoholic Who Is Deaf,1,aaws.widen.net,ok
21,A.A. Guidelines on Treatment Committees,https://aaws.widen.net/content/uxzeaso6eu/pdf/mg-14_treatment_online.pdf,mg-14_treatment_online.pdf,MG-14,MG-14,MG-14|,A.A. Guidelines,A.A. Guidelines,A.A. Guidelines,English,Treatment; Guidelines; Workbook / Kit,,59005,57.6 KB,2026-03-25,https://www.aa.org/aa-guidelines-treatment-committees,A.A. Guidelines on Treatment Committees,1,aaws.widen.net,ok
22,Guías de A.A. acerca de Cooperación con las Cortes D.W.I. y Programas Similares,https://aaws.widen.net/content/hibhwefwp7/pdf/smg-5_cooperation_with_courts_online.pdf,smg-5_cooperation_with_courts_online.pdf,SMG-5,MG-5,MG-5|,A.A. Guidelines,A.A. Guidelines,A.A. Guidelines,Spanish,,,64461,63.0 KB,2025-11-03,https://www.aa.org/es/guias-de-aa-acerca-de-cooperacion-con-las-cortes-dwi-y-programas-similares,Guías de A.A. acerca de Cooperación con las Cortes D.W.I. y Programas Similares,1,aaws.widen.net,ok
23,Guías de A.A. acerca de Relación entre A.A. y Al-Anon,https://aaws.widen.net/content/zva7vm4jwx/pdf/smg-8_relationship_aa__al_anon_online.pdf,smg-8_relationship_aa__al_anon_online.pdf,SMG-8,MG-8,MG-8|,A.A. Guidelines,A.A. Guidelines,A.A. Guidelines,Spanish,Family,,34302,33.5 KB,2024-07-23,https://www.aa.org/es/guias-de-aa-acerca-de-relacion-entre-aa-y-al-anon,Guías de A.A. acerca de Relación entre A.A. y Al-Anon,1,aaws.widen.net,ok
24,Guías de AA: La Relación entre los Grupos de AA y los Clubs,https://aaws.widen.net/content/qmyi9h2e74/pdf/smg-3a_relationship_aa__clubs_online.pdf,smg-3a_relationship_aa__clubs_online.pdf,SMG-3A,MG-3A,MG-3A|,A.A. Guidelines,A.A. Guidelines,A.A. Guidelines,Spanish,,,49377,48.2 KB,2024-02-13,https://www.aa.org/es/guias-de-aa-la-relacion-entre-los-grupos-de-aa-y-los-clubs,Guías de AA: La Relación entre los Grupos de AA y los Clubs,1,aaws.widen.net,ok
25,Guías para miembros de AA empleados en el campo del alcoholismo,https://aaws.widen.net/content/jxbzaea5mw/pdf/smg-10_for_aa_members_online.pdf,smg-10_for_aa_members_online.pdf,SMG-10,MG-10,MG-10|,A.A. Guidelines,A.A. Guidelines,A.A. Guidelines,Spanish,,,32233,31.5 KB,2025-02-06,https://www.aa.org/es/guias-para-miembros-de-aa-empleados-en-el-campo-del-alcoholismo,Guías para miembros de AA empleados en el campo del alcoholismo,1,aaws.widen.net,ok
26,Ligne de conduite des AA pour les Membres des AA oeuvrant en milieu alcoolique,https://aaws.widen.net/content/zliticrsgy/pdf/fmg-10_for_aa_members_online.pdf,fmg-10_for_aa_members_online.pdf,FMG-10,MG-10,MG-10|,A.A. Guidelines,A.A. Guidelines,A.A. Guidelines,French,,,45143,44.1 KB,2026-03-10,https://www.aa.org/fr/ligne-de-conduite-des-aa-pour-les-membres-des-aa-oeuvrant-en-milieu-alcoolique,Ligne de conduite des AA pour les Membres des AA oeuvrant en milieu alcoolique,1,aaws.widen.net,ok
27,Ligne de conduite des AA sur les Collaboration avec les tribunaux et les programmes de prévention,https://aaws.widen.net/content/tyvdmhslwe/pdf/fmg-5_cooperation_with_courts_online.pdf,fmg-5_cooperation_with_courts_online.pdf,FMG-5,MG-5,MG-5|,A.A. Guidelines,A.A. Guidelines,A.A. Guidelines,French,,,61297,59.9 KB,2026-03-10,https://www.aa.org/fr/ligne-de-conduite-des-aa-sur-les-collaboration-avec-les-tribunaux-et-les-programmes-de-prevention,Ligne de conduite des AA sur les Collaboration avec les tribunaux et les programmes de prévention,1,aaws.widen.net,ok
28,Ligne de conduite des AA sur les Liens entre les AA et les Al-Anon,https://aaws.widen.net/content/pofzfuasuz/pdf/fmg-8_relationship_aa__al_anon_online.pdf,fmg-8_relationship_aa__al_anon_online.pdf,FMG-8,MG-8,MG-8|,A.A. Guidelines,A.A. Guidelines,A.A. Guidelines,French,Family,,81778,79.9 KB,2026-03-10,https://www.aa.org/fr/ligne-de-conduite-des-aa-sur-les-liens-entre-les-aa-et-les-al-anon,Ligne de conduite des AA sur les Liens entre les AA et les Al-Anon,1,aaws.widen.net,ok
29,Lignes de conduite des AA: Relations entre les groupes des AA et les clubs,https://aaws.widen.net/content/wqmgzxeeqw/pdf/fmg-3a_relationship_aa__clubs_online.pdf,fmg-3a_relationship_aa__clubs_online.pdf,FMG-3A,MG-3A,MG-3A|,A.A. Guidelines,A.A. Guidelines,A.A. Guidelines,French,,,49819,48.7 KB,2026-03-10,https://www.aa.org/fr/lignes-de-conduite-des-aa-relations-entre-les-groupes-des-aa-et-les-clubs,Lignes de conduite des AA: Relations entre les groupes des AA et les clubs,1,aaws.widen.net,ok
30,Anonymity in the Digital Age,https://aaws.widen.net/content/uifiz5qfa4/pdf/m-77_anonymity_fragile_11x17_online.pdf,m-77_anonymity_fragile_11x17_online.pdf,M-77,M-77,M-77|p11-17,Displays & Wallet Cards,"Anonymity, Internet & Online Groups",For Members,English,Anonymity,,1526314,1.5 MB,2026-03-10,https://www.aa.org/anonymity-digital-age,Anonymity in the Digital Age,1,aaws.widen.net,ok
31,Anonymity Statement Card,https://aaws.widen.net/content/rf8qod9jsa/pdf/f-20_aa_anonymity_card_online.pdf,f-20_aa_anonymity_card_online.pdf,F-20,F-20,F-20|,"Forms, Catalogs & Order Blanks","Anonymity, Internet & Online Groups",For Members,English,Anonymity,,14741,14.4 KB,2026-02-26,https://www.aa.org/anonymity-statement-card,Anonymity Statement Card,1,aaws.widen.net,ok
32,Anonymity — Our Spiritual Foundation,https://aaws.widen.net/content/y60sj8tn4r/pdf/p-47_anonymity_our_spiritual_foundation_online.pdf,p-47_anonymity_our_spiritual_foundation_online.pdf,P-47,P-47,P-47|,Pamphlets & Booklets,"Anonymity, Internet & Online Groups",For Members,English,Anonymity; Spirituality,,395982,386.7 KB,2026-09-16,https://www.aa.org/anonymity-our-spiritual-foundation,Anonymity — Our Spiritual Foundation,2,aaws.widen.net,ok
33,Carte De L'Anonymat chez les AA,https://aaws.widen.net/content/fmyxkk98hq/pdf/ff-20_aa_anonymity_card_online.pdf,ff-20_aa_anonymity_card_online.pdf,FF-20,F-20,F-20|,"Forms, Catalogs & Order Blanks","Anonymity, Internet & Online Groups",For Members,French,Anonymity,,14042,13.7 KB,2025-05-23,https://www.aa.org/fr/lanonymat-chez-les-aa,Carte De L'Anonymat chez les AA,2,aaws.widen.net,ok
34,Comprendiendo el anonimato,https://aaws.widen.net/content/hqb6sedqnu/pdf/sp-47_anonymity_our_spiritual_foundation_online.pdf,sp-47_anonymity_our_spiritual_foundation_online.pdf,SP-47,P-47,P-47|,Pamphlets & Booklets,"Anonymity, Internet & Online Groups",For Members,Spanish,Anonymity; Spirituality,,134058,130.9 KB,2026-08-28,https://www.aa.org/es/comprendiendo-el-anonimato,Comprendiendo el anonimato,1,aaws.widen.net,ok
35,El anonimato en la era digital,https://aaws.widen.net/content/gtqj13ykum/pdf/sm-77_anonymity_fragile_11x17_online.pdf,sm-77_anonymity_fragile_11x17_online.pdf,SM-77,M-77,M-77|p11-17,Displays & Wallet Cards,"Anonymity, Internet & Online Groups",For Members,Spanish,Anonymity,,1542797,1.5 MB,2026-02-27,https://www.aa.org/es/el-anonimato-en-la-era-digital,El anonimato en la era digital,1,aaws.widen.net,ok
36,Guías de AA: Internet,https://aaws.widen.net/content/f5t8c8radi/pdf/smg-18_internet_online.pdf,smg-18_internet_online.pdf,SMG-18,MG-18,MG-18|,A.A. Guidelines,"Anonymity, Internet & Online Groups",For Members,Spanish,,,49663,48.5 KB,2026-02-03,https://www.aa.org/es/guias-de-aa-internet,Guías de AA: Internet,2,aaws.widen.net,ok
37,Informe Final de la Conferencia de Servicios Generales 2025,https://aaws.widen.net/content/vnn8zlk6w7/pdf/2025_final_conference-report_anonymity_sp_online.pdf,2025_final_conference-report_anonymity_sp_online.pdf,,,stem:2025finalconferencereportanonymitysponline,,"Anonymity, Internet & Online Groups",For Members,Spanish,Anonymity; Conference; Report; Form / Application,2025,21557396,20.6 MB,2025-10-20,https://www.aa.org/es/informe-final-de-la-conferencia-de-servicios-generales-2025,Informe Final de la Conferencia de Servicios Generales 2025,1,aaws.widen.net,ok
38,Informe final de la Conferencia de Servicios Generales de 2023,https://aaws.widen.net/content/ukmrenw070/pdf/2023_final_conference_report_anonymity_sp_online.pdf,2023_final_conference_report_anonymity_sp_online.pdf,,,stem:2023finalconferencereportanonymitysponline,,"Anonymity, Internet & Online Groups",For Members,Spanish,Anonymity; Conference; Report; Form / Application,2023,7579364,7.2 MB,2025-10-20,https://www.aa.org/es/informe-final-de-la-conferencia-de-servicios-generales-de-2023,Informe final de la Conferencia de Servicios Generales de 2023,1,aaws.widen.net,ok
39,Informe final de la Conferencia de Servicios Generales de 2024,https://aaws.widen.net/content/mwhs9e62b8/pdf/2024_final_conference_report_anonymity_sp_online.pdf,2024_final_conference_report_anonymity_sp_online.pdf,,,stem:2024finalconferencereportanonymitysponline,,"Anonymity, Internet & Online Groups",For Members,Spanish,Anonymity; Conference; Report; Form / Application,2024,8417523,8.0 MB,2025-10-20,https://www.aa.org/es/informe-final-de-la-conferencia-de-servicios-generales-de-2024,Informe final de la Conferencia de Servicios Generales de 2024,1,aaws.widen.net,ok
40,Le sens de l’anonymat,https://aaws.widen.net/content/h0nh5wqp3a/pdf/fp-47_anonymity_our_spiritual_foundation_online.pdf,fp-47_anonymity_our_spiritual_foundation_online.pdf,FP-47,P-47,P-47|,Pamphlets & Booklets,"Anonymity, Internet & Online Groups",For Members,French,Anonymity; Spirituality,,137837,134.6 KB,2026-08-28,https://www.aa.org/fr/le-sens-de-lanonymat,Le sens de l’anonymat,1,aaws.widen.net,ok
41,Ligne de conduite des AA sur L'Internet,https://aaws.widen.net/content/g4stel1qrs/pdf/fmg-18_internet_online.pdf,fmg-18_internet_online.pdf,FMG-18,MG-18,MG-18|,A.A. Guidelines,"Anonymity, Internet & Online Groups",For Members,French,,,51192,50.0 KB,2026-03-10,https://www.aa.org/fr/ligne-de-conduite-des-aa-sur-linternet,Ligne de conduite des AA sur L'Internet,1,aaws.widen.net,ok
42,L’anonymat à l’ère du numérique,https://aaws.widen.net/content/jnebdhq0ao/pdf/fm-77_anonymity_fragile_11x17_online.pdf,fm-77_anonymity_fragile_11x17_online.pdf,FM-77,M-77,M-77|p11-17,Displays & Wallet Cards,"Anonymity, Internet & Online Groups",For Members,French,Anonymity,,1530984,1.5 MB,2026-03-10,https://www.aa.org/fr/lanonymat-lere-du-numerique,L’anonymat à l’ère du numérique,1,aaws.widen.net,ok
43,Rapport final de la Conférence des Services généraux 2023,https://aaws.widen.net/content/9lkqjc18qi/pdf/2023_final_conference_report_anonymity_fr_online.pdf,2023_final_conference_report_anonymity_fr_online.pdf,,,stem:2023finalconferencereportanonymityfronline,,"Anonymity, Internet & Online Groups",For Members,French,Anonymity; Conference; Report,2023,8117939,7.7 MB,2025-10-20,https://www.aa.org/fr/rapport-final-de-la-conference-des-services-generaux-2023,Rapport final de la Conférence des Services généraux 2023,1,aaws.widen.net,ok
44,Rapport final de la Conférence des Services généraux 2024,https://aaws.widen.net/content/jqsyb8vgzs/pdf/2024_final_conference_report_anonymity_fr_online.pdf,2024_final_conference_report_anonymity_fr_online.pdf,,,stem:2024finalconferencereportanonymityfronline,,"Anonymity, Internet & Online Groups",For Members,French,Anonymity; Conference; Report,2024,8817208,8.4 MB,2025-10-20,https://www.aa.org/fr/rapport-final-de-la-conference-des-services-generaux-2024,Rapport final de la Conférence des Services généraux 2024,1,aaws.widen.net,ok
45,Rapport final de la Conférence des Services généraux de 2025,https://aaws.widen.net/content/ddgkob2wyd/pdf/2025_final_conference-report_anonymity_fr_online.pdf,2025_final_conference-report_anonymity_fr_online.pdf,,,stem:2025finalconferencereportanonymityfronline,,"Anonymity, Internet & Online Groups",For Members,French,Anonymity; Conference; Report,2025,18748883,17.9 MB,2026-02-26,https://www.aa.org/fr/rapport-final-de-la-conference-des-services-generaux-de-2025,Rapport final de la Conférence des Services généraux de 2025,1,aaws.widen.net,ok
46,Tarjeta del anonimato en AA,https://aaws.widen.net/content/evvm9cdx8y/pdf/sf-20_aa_anonymity_card_online.pdf,sf-20_aa_anonymity_card_online.pdf,SF-20,F-20,F-20|,"Forms, Catalogs & Order Blanks","Anonymity, Internet & Online Groups",For Members,Spanish,Anonymity,,13853,13.5 KB,2026-07-13,https://www.aa.org/es/anonimato-en-aa,Tarjeta del anonimato en AA,2,aaws.widen.net,ok
47,Archives Checklist,https://aaws.widen.net/content/fmjtpernjr/pdf/f-221_archives_services_checklist_online.pdf,f-221_archives_services_checklist_online.pdf,F-221,F-221,F-221|,"Forms, Catalogs & Order Blanks",Archives & A.A. History,Archives & History,English,Archives; Workbook / Kit,,8371768,8.0 MB,2024-02-18,https://www.aa.org/archives-checklist,Archives Checklist,1,aaws.widen.net,ok
48,Archives Preservation Guidelines,https://aaws.widen.net/content/1ric4hmchx/pdf/archives_preservation_guidelines_en_online.pdf,archives_preservation_guidelines_en_online.pdf,,,stem:archivespreservationguidelinesenonline,,Archives & A.A. History,Archives & History,English,Archives; Guidelines; Workbook / Kit,,401162,391.8 KB,2026-02-10,https://www.aa.org/archives-preservation-guidelines,Archives Preservation Guidelines,1,aaws.widen.net,ok
49,Archives Workbook,https://aaws.widen.net/content/etroc5kruz/pdf/m-44i_archives_workbook_online.pdf,m-44i_archives_workbook_online.pdf,M-44I,M-44I,M-44I|,Committee Workbooks,Archives & A.A. History,Archives & History,English,Archives; Workbook / Kit,,1418699,1.4 MB,2026-09-10,https://www.aa.org/archives-workbook,Archives Workbook,1,aaws.widen.net,ok
50,Comment Faire Des Recherces Pour Rédiger Une Histoire de Groupe des AA,https://aaws.widen.net/content/nr0wm6clwp/pdf/smff-169_researching_aa_group_history.pdf,smff-169_researching_aa_group_history.pdf,SMFF-169,SMF-169,SMF-169|,Service Material,Archives & A.A. History,Archives & History,French,Archives,,30332,29.6 KB,2024-10-15,https://www.aa.org/fr/comment-faire-des-recherces-pour-rediger-une-histoire-de-groupe-des-aa,Comment Faire Des Recherces Pour Rédiger Une Histoire de Groupe des AA,1,aaws.widen.net,ok
51,Cómo Investigar la Historia de los Grupos A.A.,https://aaws.widen.net/content/4hvxzvqazc/pdf/smfs-169_researching_aa_group_history.pdf,smfs-169_researching_aa_group_history.pdf,SMFS-169,SMF-169,SMF-169|,Service Material,Archives & A.A. History,Archives & History,Spanish,Archives,,30618,29.9 KB,2024-10-15,https://www.aa.org/es/como-investigar-la-historia-de-los-grupos-aa,Cómo Investigar la Historia de los Grupos A.A.,1,aaws.widen.net,ok
52,Digitizing Archival Materials Guidelines,https://aaws.widen.net/content/w5zo8xkaku/pdf/archives_digitization_guidelines_en_online.pdf,archives_digitization_guidelines_en_online.pdf,,,stem:archivesdigitizationguidelinesenonline,,Archives & A.A. History,Archives & History,English,Archives; Guidelines; Workbook / Kit,,702974,686.5 KB,2026-02-10,https://www.aa.org/digitizing-archival-materials-guidelines,Digitizing Archival Materials Guidelines,1,aaws.widen.net,ok
53,Directrices para la preservacion de los archivos,https://aaws.widen.net/content/hfixb7cwsr/pdf/archives_preservation_guidelines_sp_online.pdf,archives_preservation_guidelines_sp_online.pdf,,,stem:archivespreservationguidelinessponline,,Archives & A.A. History,Archives & History,Spanish,Archives; Guidelines; Workbook / Kit,,325134,317.5 KB,2026-02-10,https://www.aa.org/es/directrices-para-la-preservacion-de-los-archivos,Directrices para la preservacion de los archivos,1,aaws.widen.net,ok
54,Guias para la digitalizacion de los materiales de archivos,https://aaws.widen.net/content/rzs1c2zlfy/pdf/archives_digitization_guidelines_sp_online.pdf,archives_digitization_guidelines_sp_online.pdf,,,stem:archivesdigitizationguidelinessponline,,Archives & A.A. History,Archives & History,Spanish,Archives; Guidelines; Workbook / Kit,,668797,653.1 KB,2026-02-10,https://www.aa.org/es/guias-para-la-digitalizacion-de-los-materiales-de-archivos,Guias para la digitalizacion de los materiales de archivos,1,aaws.widen.net,ok
55,Guidelines For Conducting Oral Histories,https://aaws.widen.net/content/ypbvmxhfg0/pdf/archives_guidelines_conducting_oral_histories_en_online.pdf,archives_guidelines_conducting_oral_histories_en_online.pdf,,,stem:archivesguidelinesconductingoralhistoriesenonline,,Archives & A.A. History,Archives & History,English,Archives; Guidelines; Workbook / Kit,,185132,180.8 KB,2026-02-10,https://www.aa.org/guidelines-conducting-oral-histories,Guidelines For Conducting Oral Histories,1,aaws.widen.net,ok
56,Guía Para la Recopilación de Historias Orales,https://aaws.widen.net/content/pweql8ujgg/pdf/archives_guidelines_conducting_oral_histories_sp_online.pdf,archives_guidelines_conducting_oral_histories_sp_online.pdf,,,stem:archivesguidelinesconductingoralhistoriessponline,,Archives & A.A. History,Archives & History,Spanish,Archives; Guidelines; Workbook / Kit,,194125,189.6 KB,2026-02-10,https://www.aa.org/es/guia-para-la-recopilacion-de-historias-orales,Guía Para la Recopilación de Historias Orales,1,aaws.widen.net,ok
57,Guías de A.A. acerca de Archivos Históricos,https://aaws.widen.net/content/uoafx0jq2q/pdf/smg-17_archives_online.pdf,smg-17_archives_online.pdf,SMG-17,MG-17,MG-17|,A.A. Guidelines,Archives & A.A. History,Archives & History,Spanish,Archives,,42560,41.6 KB,2025-05-30,https://www.aa.org/es/guias-de-aa-acerca-de-archivos-historicos,Guías de A.A. acerca de Archivos Históricos,1,aaws.widen.net,ok
58,Les Archives des AA,https://aaws.widen.net/content/kcrjtf2l3r/pdf/ff-47_aa_archive_service_piece_online.pdf,ff-47_aa_archive_service_piece_online.pdf,FF-47,F-47,F-47|,"Forms, Catalogs & Order Blanks",Archives & A.A. History,Archives & History,French,Archives,,92699,90.5 KB,2024-02-18,https://www.aa.org/fr/les-archives-des-aa,Les Archives des AA,1,aaws.widen.net,ok
